Experiment: Edward qPCR Txn Inhibitors HS 2018-06-15 plate 2  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	17.78		0	
True	255	A2	Sample 2	16.45		0	
True	255	A3	Sample 3	15.94		0	
True	255	A4	Sample 4	14.95		0	
True	255	A5	Sample 5	16.01		0	
True	255	A6	Sample 6	16.84		0	
True	255	A7	Sample 7	18.23		0	
True	255	A8	Sample 8	15.66		0	
True	255	A9	Sample 9	15.77		0	
True	255	A10	Sample 10	14.44		0	
True	255	A11	Sample 11	14.80		0	
True	255	A12	Sample 12	  6.54		0	
True	255	A13	Sample 13	16.71		0	
True	255	A14	Sample 14	15.61		0	
True	255	A15	Sample 15	14.89		0	
True	255	A16	Sample 16	14.49		0	
True	255	A17	Sample 17	14.81		0	
True	255	A18	Sample 18	  9.80		0	
True	255	A19	Sample 19	30.05		0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	65280	A22	Sample 22			0	
True	65280	A23	Sample 23			0	
True	255	A24	Sample 24	30.57		0	
True	255	B1	Sample 25	19.34		0	
True	255	B2	Sample 26	19.10		0	
True	255	B3	Sample 27	19.26		0	
True	255	B4	Sample 28	15.99		0	
True	255	B5	Sample 29	18.68		0	
True	255	B6	Sample 30	18.51		0	
True	255	B7	Sample 31	19.00		0	
True	255	B8	Sample 32	22.35		0	
True	255	B9	Sample 33	22.86		0	
True	255	B10	Sample 34	16.54		0	
True	255	B11	Sample 35	18.12		0	
True	255	B12	Sample 36	17.78		0	
True	255	B13	Sample 37	17.76		0	
True	255	B14	Sample 38	18.70		0	
True	255	B15	Sample 39	18.74		0	
True	255	B16	Sample 40	15.92		0	
True	255	B17	Sample 41	18.24		0	
True	255	B18	Sample 42	17.95		0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	65280	B22	Sample 46			0	
True	65280	B23	Sample 47			0	
True	255	B24	Sample 48	29.76		0	
True	255	C1	Sample 49	18.94		0	
True	255	C2	Sample 50	18.69		0	
True	255	C3	Sample 51	18.79		0	
True	255	C4	Sample 52	16.98		0	
True	255	C5	Sample 53	18.22		0	
True	255	C6	Sample 54	17.81		0	
True	255	C7	Sample 55	19.19		0	
True	255	C8	Sample 56	18.86		0	
True	255	C9	Sample 57	19.07		0	
True	255	C10	Sample 58	17.70		0	
True	255	C11	Sample 59	17.67		0	
True	255	C12	Sample 60	17.13		0	
True	255	C13	Sample 61	18.96		0	
True	255	C14	Sample 62	18.88		0	
True	255	C15	Sample 63	18.30		0	
True	255	C16	Sample 64	16.78		0	
True	255	C17	Sample 65	17.80		0	
True	255	C18	Sample 66	17.56		0	
True	255	C19	Sample 67	31.74		0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	65280	C22	Sample 70			0	
True	65280	C23	Sample 71			0	
True	255	C24	Sample 72	30.36		0	
True	255	D1	Sample 73	14.83		0	
True	255	D2	Sample 74	15.65		0	
True	255	D3	Sample 75	15.95		0	
True	255	D4	Sample 76	14.92		0	
True	255	D5	Sample 77	15.30		0	
True	255	D6	Sample 78	17.51		0	
True	255	D7	Sample 79	14.83		0	
True	255	D8	Sample 80	18.08		0	
True	255	D9	Sample 81	15.76		0	
True	255	D10	Sample 82	15.67		0	
True	255	D11	Sample 83	15.41		0	
True	255	D12	Sample 84	15.48		0	
True	255	D13	Sample 85	14.56		0	
True	255	D14	Sample 86	14.69		0	
True	255	D15	Sample 87	14.97		0	
True	255	D16	Sample 88	14.57		0	
True	255	D17	Sample 89	14.72		0	
True	255	D18	Sample 90	14.99		0	
True	255	D19	Sample 91	29.28		0	
True	255	D20	Sample 92	32.68		0	
True	255	D21	Sample 93	32.55		0	
True	255	D22	Sample 94	35.82		0	
True	255	D23	Sample 95	32.59		0	
True	255	D24	Sample 96	29.38		0	
True	255	E1	Sample 97	16.14		0	
True	255	E2	Sample 98	15.56		0	
True	255	E3	Sample 99	16.30		0	
True	255	E4	Sample 100	14.64		0	
True	255	E5	Sample 101	15.41		0	
True	255	E6	Sample 102	14.74		0	
True	255	E7	Sample 103	16.64		0	
True	255	E8	Sample 104	15.55		0	
True	255	E9	Sample 105	16.20		0	
True	255	E10	Sample 106	15.66		0	
True	255	E11	Sample 107	17.26		0	
True	255	E12	Sample 108	14.89		0	
True	255	E13	Sample 109	15.96		0	
True	255	E14	Sample 110	15.65		0	
True	255	E15	Sample 111	15.38		0	
True	255	E16	Sample 112	14.49		0	
True	255	E17	Sample 113	14.86		0	
True	255	E18	Sample 114	14.11		0	
True	65280	E19	Sample 115			0	
True	65280	E20	Sample 116			0	
True	65280	E21	Sample 117			0	
True	65280	E22	Sample 118			0	
True	65280	E23	Sample 119			0	
True	255	E24	Sample 120	29.38		0	
True	255	F1	Sample 121	22.66		0	
True	255	F2	Sample 122	21.89		0	
True	255	F3	Sample 123	20.81		0	
True	255	F4	Sample 124	18.12		0	
True	255	F5	Sample 125	20.88		0	
True	255	F6	Sample 126	19.83		0	
True	255	F7	Sample 127	22.85		0	
True	255	F8	Sample 128	21.25		0	
True	255	F9	Sample 129	21.18		0	
True	255	F10	Sample 130	17.97		0	
True	255	F11	Sample 131	21.86		0	
True	255	F12	Sample 132	20.86		0	
True	255	F13	Sample 133	22.17		0	
True	255	F14	Sample 134	20.30		0	
True	255	F15	Sample 135	20.42		0	
True	255	F16	Sample 136	17.57		0	
True	255	F17	Sample 137	21.22		0	
True	255	F18	Sample 138	19.93		0	
True	255	F19	Sample 139	30.19		0	
True	65280	F20	Sample 140			0	
True	65280	F21	Sample 141			0	
True	65280	F22	Sample 142			0	
True	65280	F23	Sample 143			0	
True	255	F24	Sample 144	30.93		0	
True	255	G1	Sample 145	23.67		0	
True	255	G2	Sample 146	21.58		0	
True	255	G3	Sample 147	22.47		0	
True	255	G4	Sample 148	15.07		0	
True	255	G5	Sample 149	16.80		0	
True	255	G6	Sample 150	16.96		0	
True	255	G7	Sample 151	23.89		0	
True	255	G8	Sample 152	21.89		0	
True	255	G9	Sample 153	22.81		0	
True	255	G10	Sample 154	15.47		0	
True	255	G11	Sample 155	17.23		0	
True	255	G12	Sample 156	17.28		0	
True	255	G13	Sample 157	23.39		0	
True	255	G14	Sample 158	21.82		0	
True	255	G15	Sample 159	22.28		0	
True	255	G16	Sample 160	15.23		0	
True	255	G17	Sample 161	16.63		0	
True	255	G18	Sample 162	16.67		0	
True	255	G19	Sample 163	29.93		0	
True	255	G20	Sample 164	35.70		0	
True	65280	G21	Sample 165			0	
True	65280	G22	Sample 166			0	
True	255	G23	Sample 167	35.25		0	
True	255	G24	Sample 168	29.89		0	
True	255	H1	Sample 169	17.97		0	
True	255	H2	Sample 170	14.94		0	
True	255	H3	Sample 171	15.97		0	
True	255	H4	Sample 172	15.66		0	
True	255	H5	Sample 173	15.98		0	
True	255	H6	Sample 174	14.32		0	
True	255	H7	Sample 175	17.94		0	
True	255	H8	Sample 176	15.25		0	
True	255	H9	Sample 177	15.77		0	
True	255	H10	Sample 178	15.40		0	
True	255	H11	Sample 179	16.62		0	
True	255	H12	Sample 180	15.57		0	
True	255	H13	Sample 181	17.73		0	
True	255	H14	Sample 182	15.06		0	
True	255	H15	Sample 183	15.62		0	
True	255	H16	Sample 184	15.18		0	
True	255	H17	Sample 185	16.20		0	
True	255	H18	Sample 186	15.50		0	
True	65280	H19	Sample 187			0	
True	65280	H20	Sample 188			0	
True	65280	H21	Sample 189			0	
True	65280	H22	Sample 190			0	
True	255	H23	Sample 191	37.13		0	
True	255	H24	Sample 192	29.97		0	
True	255	I1	Sample 193	18.49		0	
True	255	I2	Sample 194	17.99		0	
True	255	I3	Sample 195	17.44		0	
True	255	I4	Sample 196	17.57		0	
True	255	I5	Sample 197	18.20		0	
True	255	I6	Sample 198	17.76		0	
True	255	I7	Sample 199	17.40		0	
True	255	I8	Sample 200	17.80		0	
True	255	I9	Sample 201	19.39		0	
True	255	I10	Sample 202	17.92		0	
True	255	I11	Sample 203	17.99		0	
True	255	I12	Sample 204	17.89		0	
True	255	I13	Sample 205	17.93		0	
True	255	I14	Sample 206	17.79		0	
True	255	I15	Sample 207	21.66		0	
True	255	I16	Sample 208	17.97		0	
True	255	I17	Sample 209	17.36		0	
True	255	I18	Sample 210	18.14		0	
True	255	I19	Sample 211	36.19		0	
True	65280	I20	Sample 212			0	
True	65280	I21	Sample 213			0	
True	65280	I22	Sample 214			0	
True	255	I23	Sample 215	35.85		0	
True	255	I24	Sample 216	30.55		0	
True	255	J1	Sample 217	18.69		0	
True	255	J2	Sample 218	17.82		0	
True	255	J3	Sample 219	17.94		0	
True	255	J4	Sample 220	18.20		0	
True	255	J5	Sample 221	18.99		0	
True	255	J6	Sample 222	17.97		0	
True	255	J7	Sample 223	18.50		0	
True	255	J8	Sample 224	16.73		0	
True	255	J9	Sample 225	18.05		0	
True	255	J10	Sample 226	17.82		0	
True	255	J11	Sample 227	18.90		0	
True	255	J12	Sample 228	18.25		0	
True	255	J13	Sample 229	18.81		0	
True	255	J14	Sample 230	17.90		0	
True	255	J15	Sample 231	17.95		0	
True	255	J16	Sample 232	17.99		0	
True	255	J17	Sample 233	19.09		0	
True	255	J18	Sample 234	18.35		0	
True	255	J19	Sample 235	29.76		0	
True	65280	J20	Sample 236			0	
True	65280	J21	Sample 237			0	
True	65280	J22	Sample 238			0	
True	65280	J23	Sample 239			0	
True	255	J24	Sample 240	29.56		0	
True	255	K1	Sample 241	21.36		0	
True	255	K2	Sample 242	18.65		0	
True	255	K3	Sample 243	19.50		0	
True	255	K4	Sample 244	19.72		0	
True	255	K5	Sample 245	20.45		0	
True	255	K6	Sample 246	19.05		0	
True	255	K7	Sample 247	21.33		0	
True	255	K8	Sample 248	18.66		0	
True	255	K9	Sample 249	19.43		0	
True	255	K10	Sample 250	19.68		0	
True	255	K11	Sample 251	20.45		0	
True	255	K12	Sample 252	18.86		0	
True	255	K13	Sample 253	21.60		0	
True	255	K14	Sample 254	18.96		0	
True	255	K15	Sample 255	19.59		0	
True	255	K16	Sample 256	19.72		0	
True	255	K17	Sample 257	20.15		0	
True	255	K18	Sample 258	18.81		0	
True	255	K19	Sample 259	29.91		0	
True	65280	K20	Sample 260			0	
True	65280	K21	Sample 261			0	
True	255	K22	Sample 262	35.47		0	
True	65280	K23	Sample 263			0	
True	255	K24	Sample 264	29.96		0	
True	255	L1	Sample 265	17.94		0	
True	255	L2	Sample 266	15.90		0	
True	255	L3	Sample 267	15.75		0	
True	255	L4	Sample 268	16.60		0	
True	255	L5	Sample 269	16.80		0	
True	255	L6	Sample 270	15.83		0	
True	255	L7	Sample 271	17.80		0	
True	255	L8	Sample 272	15.79		0	
True	255	L9	Sample 273	15.70		0	
