Experiment: Edward qPCR Txn Inhibitors HS 2018-06-15 plate 1  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	14.98		0	
True	255	A2	Sample 2	16.65		0	
True	255	A3	Sample 3	18.51		0	
True	255	A4	Sample 4	14.80		0	
True	255	A5	Sample 5	11.51		0	
True	255	A6	Sample 6	14.66		0	
True	255	A7	Sample 7	18.60		0	
True	255	A8	Sample 8	15.76		0	
True	255	A9	Sample 9	16.66		0	
True	255	A10	Sample 10	14.73		0	
True	65280	A11	Sample 11			0	
True	255	A12	Sample 12	17.07		0	
True	255	A13	Sample 13	15.41		0	
True	255	A14	Sample 14	15.61		0	
True	255	A15	Sample 15	16.61		0	
True	255	A16	Sample 16	14.59		0	
True	255	A17	Sample 17	15.86		0	
True	255	A18	Sample 18	16.69		0	
True	65280	A19	Sample 19			0	
True	65280	A20	Sample 20			0	
True	65280	A21	Sample 21			0	
True	255	A22	Sample 22	33.82		0	
True	65280	A23	Sample 23			0	
True	255	A24	Sample 24	33.56		0	
True	255	B1	Sample 25	20.74		0	
True	255	B2	Sample 26	19.67		0	
True	255	B3	Sample 27	19.35		0	
True	255	B4	Sample 28	15.76		0	
True	255	B5	Sample 29	17.69		0	
True	255	B6	Sample 30	19.45		0	
True	255	B7	Sample 31	19.74		0	
True	255	B8	Sample 32	19.00		0	
True	255	B9	Sample 33	19.84		0	
True	255	B10	Sample 34	15.25		0	
True	255	B11	Sample 35	17.76		0	
True	255	B12	Sample 36	19.35		0	
True	255	B13	Sample 37	18.71		0	
True	255	B14	Sample 38	19.54		0	
True	255	B15	Sample 39	18.90		0	
True	255	B16	Sample 40	15.18		0	
True	255	B17	Sample 41	18.21		0	
True	255	B18	Sample 42	18.88		0	
True	65280	B19	Sample 43			0	
True	65280	B20	Sample 44			0	
True	65280	B21	Sample 45			0	
True	255	B22	Sample 46	33.32		0	
True	65280	B23	Sample 47			0	
True	255	B24	Sample 48	32.54		0	
True	255	C1	Sample 49	19.84		0	
True	255	C2	Sample 50	19.20		0	
True	255	C3	Sample 51	19.63		0	
True	255	C4	Sample 52	17.97		0	
True	255	C5	Sample 53	18.99		0	
True	255	C6	Sample 54	19.19		0	
True	255	C7	Sample 55	20.27		0	
True	255	C8	Sample 56	20.34		0	
True	255	C9	Sample 57	20.03		0	
True	255	C10	Sample 58	17.78		0	
True	255	C11	Sample 59	19.39		0	
True	255	C12	Sample 60	19.51		0	
True	255	C13	Sample 61	19.70		0	
True	255	C14	Sample 62	19.82		0	
True	255	C15	Sample 63	19.54		0	
True	255	C16	Sample 64	15.35		0	
True	255	C17	Sample 65	18.94		0	
True	65280	C18	Sample 66			0	
True	65280	C19	Sample 67			0	
True	65280	C20	Sample 68			0	
True	65280	C21	Sample 69			0	
True	255	C22	Sample 70	32.74		0	
True	65280	C23	Sample 71			0	
True	255	C24	Sample 72	33.00		0	
True	255	D1	Sample 73	15.86		0	
True	255	D2	Sample 74	15.43		0	
True	255	D3	Sample 75	14.46		0	
True	255	D4	Sample 76	16.77		0	
True	255	D5	Sample 77	17.66		0	
True	255	D6	Sample 78	15.96		0	
True	255	D7	Sample 79	15.29		0	
True	255	D8	Sample 80	15.67		0	
True	255	D9	Sample 81	14.03		0	
True	255	D10	Sample 82	15.76		0	
True	255	D11	Sample 83	16.71		0	
True	255	D12	Sample 84	15.74		0	
True	255	D13	Sample 85	14.22		0	
True	255	D14	Sample 86	14.75		0	
True	255	D15	Sample 87	15.56		0	
True	255	D16	Sample 88	15.69		0	
True	255	D17	Sample 89	15.84		0	
True	255	D18	Sample 90	15.92		0	
True	255	D19	Sample 91	35.93		0	
True	255	D20	Sample 92	33.70		0	
True	255	D21	Sample 93	31.17		0	
True	255	D22	Sample 94	31.74		0	
