Experiment: Edward qPCR Nrd1 calibration 2019-02-02  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	A1	Sample 1	22.78		0	
True	255	A2	Sample 2	24.71		0	
True	255	A3	Sample 3	26.78		0	
True	255	A4	Sample 4	28.64		0	
True	65280	A5	Sample 5			0	
True	65280	A6	Sample 6			0	
True	255	A7	Sample 7	23.22		0	
True	255	A8	Sample 8	24.81		0	
True	255	A9	Sample 9	26.91		0	
True	65280	A10	Sample 10			0	
True	65280	A11	Sample 11			0	
True	65280	A12	Sample 12			0	
True	255	A13	Sample 13	23.33		0	
True	255	A14	Sample 14	25.64		0	
True	255	A15	Sample 15	26.72		0	
True	255	A16	Sample 16	29.71		0	
True	65280	A17	Sample 17			0	
True	65280	A18	Sample 18			0	
True	255	A19	Sample 19	22.47		0	
True	255	A20	Sample 20	24.76		0	
True	255	A21	Sample 21	27.26		0	
True	255	A22	Sample 22	30.37		0	
True	255	A23	Sample 23	32.26		0	
True	65280	A24	Sample 24			0	
True	255	B1	Sample 25	21.78		0	
True	255	B2	Sample 26	24.71		0	
True	255	B3	Sample 27	26.89		0	
True	255	B4	Sample 28	29.28		0	
True	65280	B5	Sample 29			0	
True	65280	B6	Sample 30			0	
True	255	B7	Sample 31	21.71		0	
True	255	B8	Sample 32	24.43		0	
True	255	B9	Sample 33	26.51		0	
True	255	B10	Sample 34	28.72		0	
True	65280	B11	Sample 35			0	
True	65280	B12	Sample 36			0	
True	255	B13	Sample 37	21.81		0	
True	255	B14	Sample 38	24.56		0	
True	255	B15	Sample 39	26.45		0	
True	255	B16	Sample 40	28.75		0	
True	65280	B17	Sample 41			0	
True	65280	B18	Sample 42			0	
True	255	B19	Sample 43	21.87		0	
True	255	B20	Sample 44	24.55		0	
True	255	B21	Sample 45	25.49		0	
True	255	B22	Sample 46	27.72		0	
True	65280	B23	Sample 47			0	
True	65280	B24	Sample 48			0	
True	255	C1	Sample 49	21.56		0	
True	255	C2	Sample 50	24.74		0	
True	255	C3	Sample 51	27.44		0	
True	255	C4	Sample 52	30.35		0	
True	65280	C5	Sample 53			0	
True	65280	C6	Sample 54			0	
True	255	C7	Sample 55	22.37		0	
True	255	C8	Sample 56	24.80		0	
True	255	C9	Sample 57	27.65		0	
True	255	C10	Sample 58	29.91		0	
True	255	C11	Sample 59	31.36		0	
True	65280	C12	Sample 60			0	
True	255	C13	Sample 61	20.80		0	
True	255	C14	Sample 62	24.84		0	
True	255	C15	Sample 63	26.67		0	
True	255	C16	Sample 64	29.22		0	
True	255	C17	Sample 65	29.99		0	
True	65280	C18	Sample 66			0	
True	255	C19	Sample 67	20.89		0	
True	255	C20	Sample 68	24.64		0	
True	255	C21	Sample 69	27.57		0	
True	255	C22	Sample 70	28.37		0	
True	255	C23	Sample 71	29.38		0	
True	65280	C24	Sample 72			0	
True	255	D1	Sample 73	18.70		0	
True	255	D2	Sample 74	20.60		0	
True	255	D3	Sample 75	23.84		0	
True	255	D4	Sample 76	26.34		0	
True	65280	D5	Sample 77			0	
